uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"5f753c4d-47e7-4e6a-8c23-19477010d011","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-07T22:15Z","2023-09-08T11:40Z","2023-09-29","UNDE_072.20230908.0640","B00000178401","UNDE_072.20230908.0640.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"6b6f8acc-ef19-43c8-a4b4-20b84c160e16","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-09-07T22:31Z","2023-09-08T11:59Z","2023-09-29","UNDE_071.20230908.0659","B00000178405","UNDE_071.20230908.0659.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f946dc0f-11fa-4fdd-ac5f-8b92ce52d717","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-09-07T22:38Z","2023-09-08T12:11Z","2023-09-29","UNDE_066.20230908.0711","B00000178410","UNDE_066.20230908.0711.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f1060602-60cb-4b03-960e-2f2df389fda4","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-09-07T22:49Z","2023-09-08T12:20Z","2023-09-28","UNDE_075.20230908.0720","B00000178408","UNDE_075.20230908.0720.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"dd2b229a-6142-4783-a2f8-9cd1e2912b02","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-09-07T22:59Z","2023-09-08T12:28Z","2023-09-28","UNDE_073.20230908.0728","B00000178412","UNDE_073.20230908.0728.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"1e0e84d7-b87d-4689-a707-2df6248d4efc","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","2023-09-07T23:08Z","2023-09-08T12:38Z","2023-09-28","UNDE_070.20230908.0738","B00000178416","UNDE_070.20230908.0738.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"fe8d7d47-3f7d-4235-8eab-2115eff820c8","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","2023-09-07T23:24Z","2023-09-08T12:55Z","2023-09-28","UNDE_067.20230908.0755","B00000178421","UNDE_067.20230908.0755.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"8f88231b-eeee-441a-865f-ec7eb65833a9","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","2023-09-07T23:40Z","2023-09-08T13:10Z","2023-09-28","UNDE_068.20230908.0810","B00000178429","UNDE_068.20230908.0810.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f4865276-39bd-401d-8257-b1a336d4dcae","UNDE_074.mosquitoPoint.mos","D05","UNDE","UNDE_074","2023-09-07T23:50Z","2023-09-08T13:22Z","2023-09-28","UNDE_074.20230908.0822","B00000178411","UNDE_074.20230908.0822.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"f380bb5d-d716-4d91-aa45-9887b36cb0c8","UNDE_076.mosquitoPoint.mos","D05","UNDE","UNDE_076","2023-09-07T23:56Z","2023-09-08T13:28Z","2023-09-28","UNDE_076.20230908.0828","B00000178403","UNDE_076.20230908.0828.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"0d3433a2-cca1-41a7-9c82-a17be4eee829","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-09-08T11:40Z","2023-09-08T22:27Z","2023-09-28","UNDE_072.20230908.1727","B00000178413","UNDE_072.20230908.1727.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"4c37d31d-308b-48e4-9378-af9a208aee6b","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","2023-09-08T11:59Z","2023-09-08T22:43Z","2023-09-28","UNDE_071.20230908.1743","B00000178453","UNDE_071.20230908.1743.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"31c264de-1ea8-40cb-b4c1-f4366969368f","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","2023-09-08T12:11Z","2023-09-08T22:49Z","2023-09-29","UNDE_066.20230908.1749","B00000178458","UNDE_066.20230908.1749.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"fb358eeb-0d60-4490-9033-27a3d282bbb3","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","2023-09-08T12:20Z","2023-09-08T22:57Z","2023-09-28","UNDE_075.20230908.1757","B00000178415","UNDE_075.20230908.1757.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
"97b648ac-7d07-462d-ade4-a0b545e44352","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","2023-09-08T12:28Z","2023-09-08T23:07Z","2023-09-29","UNDE_073.20230908.1807","B00000178375","UNDE_073.20230908.1807.S.01",,1.000,"No known compromise",,"IunkzmQODLYCbnTctBWyMXDGnUqtCivTnIfj5z37TBM=","Kansas Biological Survey"
