uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,trapHours,nightOrDay,eventID,samplingImpractical,sampleID,sampleCode,samplingProtocolVersion,sampleTiming,fanStatus,catchCupStatus,trapType,CO2Status,sampleCondition,targetTaxaPresent,recordedBy,remarks,dataQF
"8a36aca5-39df-4f60-b0a7-c7f39f6eac98","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","distributed","woodyWetlands",46.235464,-89.564303,"WGS84",10.3,512.9,0.3,"2023-09-07T22:15Z","2023-09-08T11:40Z",13.4,"night","UNDE.2023.36","OK","UNDE_072.20230908.0640","B00000178401","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"f8c46bc8-24c7-4c17-8838-966e91eccdf4","UNDE_071.mosquitoPoint.mos","D05","UNDE","UNDE_071","distributed","woodyWetlands",46.246368,-89.547703,"WGS84",10.3,510.1,0.3,"2023-09-07T22:31Z","2023-09-08T11:59Z",13.5,"night","UNDE.2023.36","OK","UNDE_071.20230908.0659","B00000178405","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"e0edc28b-a414-444e-b1b7-a8a8254a7568","UNDE_066.mosquitoPoint.mos","D05","UNDE","UNDE_066","distributed","mixedForest",46.249945,-89.540863,"WGS84",10.3,514.3,0.3,"2023-09-07T22:38Z","2023-09-08T12:11Z",13.6,"night","UNDE.2023.36","OK","UNDE_066.20230908.0711","B00000178410","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"f6bc70a9-13f8-4812-aa77-870d30d4ad60","UNDE_075.mosquitoPoint.mos","D05","UNDE","UNDE_075","distributed","woodyWetlands",46.259156,-89.527305,"WGS84",10.3,507.6,0.4,"2023-09-07T22:49Z","2023-09-08T12:20Z",13.5,"night","UNDE.2023.36","OK","UNDE_075.20230908.0720","B00000178408","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"63691c6d-1a5b-4bb4-b317-7446b8283fc6","UNDE_073.mosquitoPoint.mos","D05","UNDE","UNDE_073","distributed","deciduousForest",46.245034,-89.519234,"WGS84",10.1,516.8,0.2,"2023-09-07T22:59Z","2023-09-08T12:28Z",13.5,"night","UNDE.2023.36","OK","UNDE_073.20230908.0728","B00000178412","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"b4317a0d-77d1-48ab-95bc-986a00fab236","UNDE_070.mosquitoPoint.mos","D05","UNDE","UNDE_070","distributed","woodyWetlands",46.243091,-89.509409,"WGS84",10.1,514.0,0.2,"2023-09-07T23:08Z","2023-09-08T12:38Z",13.5,"night","UNDE.2023.36","OK","UNDE_070.20230908.0738","B00000178416","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"5f4c418d-1c1a-4fe2-8801-dc43ab307f52","UNDE_067.mosquitoPoint.mos","D05","UNDE","UNDE_067","distributed","woodyWetlands",46.228742,-89.498140,"WGS84",10.1,512.5,0.1,"2023-09-07T23:24Z","2023-09-08T12:55Z",13.5,"night","UNDE.2023.36","OK","UNDE_067.20230908.0755","B00000178421","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"f90d50c4-8741-4f17-8c37-05f69df61f4d","UNDE_068.mosquitoPoint.mos","D05","UNDE","UNDE_068","distributed","woodyWetlands",46.209603,-89.492758,"WGS84",10.3,509.2,0.4,"2023-09-07T23:40Z","2023-09-08T13:10Z",13.5,"night","UNDE.2023.36","OK","UNDE_068.20230908.0810","B00000178429","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"c0313b49-163d-45d4-ba37-07c72c321832","UNDE_074.mosquitoPoint.mos","D05","UNDE","UNDE_074","distributed","deciduousForest",46.216675,-89.507410,"WGS84",10.4,515.3,0.7,"2023-09-07T23:50Z","2023-09-08T13:22Z",13.5,"night","UNDE.2023.36","OK","UNDE_074.20230908.0822","B00000178411","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
"4c3ee976-93aa-4846-b275-76ebc5f1cd15","UNDE_076.mosquitoPoint.mos","D05","UNDE","UNDE_076","distributed","deciduousForest",46.219949,-89.517762,"WGS84",10.2,524.8,0.2,"2023-09-07T23:56Z","2023-09-08T13:28Z",13.5,"night","UNDE.2023.36","OK","UNDE_076.20230908.0828","B00000178403","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","pweishampel@neoninc.org",,
