uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"d3e72ec6-9ef7-46b5-b1ad-00ca880e3c9b","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",25,"CULSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,,,"sp.",,"Culicidae sp.","Meigen, 1818","family","UNK",,"M","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"2e0e8d33-548a-4899-a7ed-787e3ab3054f","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",44,"AEDCIN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedes","cinereus",,"Aedes cinereus","Meigen, 1818","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"58c22da8-de96-4b5d-b122-c3db6450fc05","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",2,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","punctipennis",,"Anopheles punctipennis","(Say, 1823)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"e9bcfded-9c80-4176-b58d-5db73d586064","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",7,"AEDSPP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes",,"sp.",,"Aedes sp.","Meigen, 1818","genus","UNK",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"8d7e53d0-778a-48a3-98c0-093d49415052","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",1,"ANOWAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","walkeri",,"Anopheles walkeri","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"7b8bd3dc-ad49-4af8-8697-0deeb6ced89c","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"b6bad81b-8dec-4796-b166-d3d72ec400ad","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",3,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedimorphus","vexans",,"Aedes vexans","(Meigen, 1830)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"d1ef2b10-9244-45a4-8cc3-743df16c0e68","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",5,"AEDEXC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","excrucians",,"Aedes excrucians","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"ac24b7d1-ccf4-42e1-87a0-99f31fbbbdad","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",1,"URASAP","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Uranotaeniini","Uranotaenia","Uranotaenia","sapphirina",,"Uranotaenia sapphirina","(Osten Sacken, 1868)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
"62bcbc2a-6ee9-41ee-ba77-bdda0fbce2f0","UNDE_072.mosquitoPoint.mos","D05","UNDE","UNDE_072","2023-10-03T21:36Z","2023-10-04T12:29Z","2023-11-09","UNDE_072.20231004.0729.S.01",,"Y",1,"CULMOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Culicella","morsitans",,"Culiseta morsitans","(Theobald, 1901)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"D.S.Goldhammer","Kansas Biological Survey",
