name,pubCode,description,startDate,endDate
"identificationQualifiersExpert","cf. species","cf. species",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. species","aff. species",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. genus","cf. genus",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. genus","aff. genus",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. subspecies","cf. subspecies",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. subspecies","aff. subspecies",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. family","cf. family",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. family","aff. family",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. variety","cf. variety",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. variety","aff. variety",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","sp. nov.","sp. nov.",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","spp. nr.","spp. nr.",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","sp. nr.","sp. nr.",2012-01-01T00:00:00Z,
"identificationRemarks","Nomenclatural adjustment","The determination has been updated because of a change in the taxonomic concept",2012-01-01T00:00:00Z,
"identificationRemarks","Determination updated by expert","A taxonomic expert has indicated that this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Out of geographic range","The geographic range of the taxon in this determination does not include the location where this observation was made",2012-01-01T00:00:00Z,
"identificationRemarks","Out of phenotypic range","Measurement of one or more phenotypic traits of the specimen suggest the determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","BOLD mismatch","BOLD data suggest this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Transcription error","There was a data entry error and this determination needed to be corrected",2012-01-01T00:00:00Z,
"identificationRemarks","Field determination error","Field determination error",2012-01-01T00:00:00Z,
"identificationRemarks","Other - see remarks","Other - see remarks",2012-01-01T00:00:00Z,
"identificationRemarks","Genetic analysis","Taxonomic identity was determined by genetic analysis (e.g., PCR)",2012-01-01T00:00:00Z,
"mos.catchCupStatus","OK","OK",2012-01-01T00:00:00Z,
"mos.catchCupStatus","Disturbed","Disturbed",2012-01-01T00:00:00Z,
"mos.catchCupStatus","Missing","Missing",2012-01-01T00:00:00Z,
"mos.CO2Status","Present","Dry ice or CO2 still present and flowing",2012-01-01T00:00:00Z,
"mos.CO2Status","Absent","Dry ice or CO2 ran out",2012-01-01T00:00:00Z,
"mos.CO2Status","Flow obstructed","Vent hole clogged or CO2 flow obstructed",2012-01-01T00:00:00Z,
"mos.CO2Status","Other - see remarks","Other - see remarks",2012-01-01T00:00:00Z,
"mos.fanStatus","On","Fan on",2012-01-01T00:00:00Z,
"mos.fanStatus","Off","Fan off",2012-01-01T00:00:00Z,
"mos.fanStatus","blown fuse","fan off due to blown fuse",2023-01-01T00:00:00Z,
"mos.identificationReferences","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.",2012-01-01T00:00:00Z,
"mos.identificationReferences","Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.","Darsie, R. F., and R. A. Ward. 1981. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. Mosquito Sytematics Supplement 1: 1-313.",2012-01-01T00:00:00Z,
"mos.identificationReferences","Stanuszek, W.W. 2013. A dichotomous key to commonly encountered mosquitoes in Saginaw County, Michigan","Stanuszek, W.W. 2013. A dichotomous key to commonly encountered mosquitoes in Saginaw County, Michigan",2012-01-01T00:00:00Z,
"mos.identificationReferences","Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.","Tulloch, G. S. 1937. The Mosquitoes of Puerto Rico. Journal of Agriculture of the University of Puerto Rico 21:137-167.",2012-01-01T00:00:00Z,
"mos.identificationReferences","Harrison, B. A., B.D. Byrd, C.B. Sither, and P.B. Witt. 2016. The mosquitoes of the mid-Atlantic region: an identification guide. Western Carolina University. Cullowhee, North Carolina, USA.","Harrison, B. A., B.D. Byrd, C.B. Sither, and P.B. Witt. 2016. The mosquitoes of the mid-Atlantic region: an identification guide. Western Carolina University. Cullowhee, North Carolina, USA.",2012-01-01T00:00:00Z,
