uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"d4e684a7-82a9-4ddd-9ba2-0c4413a08ac1","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2023-07-19T23:56Z","2023-07-20T14:18Z","2023-09-20","ABBY_033.20230720.0718.S.01",,"N",0,,,,,,,,,,,,,,,,,,"U","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"00325cd1-2a6d-4502-bad9-29932a0a9b5f","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-07-20T00:03Z","2023-07-20T14:08Z","2023-09-20","ABBY_040.20230720.0708.S.01",,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Jarnellius","sierrensis",,"Aedes sierrensis","(Ludlow, 1905)","species","N",,"M","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"9d947b15-a229-4379-818d-cbcec648ff87","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T00:23Z","2023-07-20T13:55Z","2023-09-20","ABBY_032.20230720.0655.S.01",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","tarsalis",,"Culex tarsalis","Coquillett, 1896","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"adddf242-0914-42a3-84ff-5da63e6e9c90","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T00:23Z","2023-07-20T13:55Z","2023-09-20","ABBY_032.20230720.0655.S.01",,"Y",1,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Culiseta","incidens",,"Culiseta incidens","(Thomson, 1869)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"8e6bc07c-e992-4afd-a249-9937c1f32530","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T00:35Z","2023-07-20T13:16Z","2023-09-20","ABBY_038.20230720.0616.S.01",,"Y",1,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Jarnellius","sierrensis",,"Aedes sierrensis","(Ludlow, 1905)","species","N",,"M","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"4bb236ca-ea14-46ae-9d3a-bd7489ac17b7","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T00:35Z","2023-07-20T13:16Z","2023-09-20","ABBY_038.20230720.0616.S.01",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","tarsalis",,"Culex tarsalis","Coquillett, 1896","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"a97fe546-962e-4355-86ac-f19449472578","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-07-20T00:47Z","2023-07-20T13:39Z","2023-09-20","ABBY_034.20230720.0639.S.01",,"Y",2,"CULINC","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Culiseta","incidens",,"Culiseta incidens","(Thomson, 1869)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"3836bd7f-4599-4afc-9dcc-cfe50089178c","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-07-20T00:47Z","2023-07-20T13:39Z","2023-09-20","ABBY_034.20230720.0639.S.01",,"Y",2,"AEDSIE","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Jarnellius","sierrensis",,"Aedes sierrensis","(Ludlow, 1905)","species","N",,"M","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"a2358668-6939-4e18-8e7e-c01efbc6d54f","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2023-07-20T01:45Z","2023-07-20T16:11Z","2023-09-20","ABBY_035.20230720.0911.S.01",,"Y",18,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","tarsalis",,"Culex tarsalis","Coquillett, 1896","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
"836ccc53-7927-4e1f-88e2-bb1a0bc20bb5","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-07-20T01:59Z","2023-07-20T15:51Z","2023-09-20","ABBY_036.20230720.0851.S.01",,"Y",1,"CULTAR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","tarsalis",,"Culex tarsalis","Coquillett, 1896","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
