uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,sortDate,sampleID,sampleCode,subsampleID,subsampleCode,proportionIdentified,sampleCondition,remarks,sortedBy,laboratoryName
"5d550807-3815-4c85-9e2f-ece1ef7e5c0d","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","2023-07-19T23:56Z","2023-07-20T14:18Z","2023-09-20","ABBY_033.20230720.0718","B00000121586","ABBY_033.20230720.0718.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"fbdab3db-59cf-4313-a19e-a1ff6609e03c","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-07-20T00:03Z","2023-07-20T14:08Z","2023-09-20","ABBY_040.20230720.0708","B00000121571","ABBY_040.20230720.0708.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"6001af02-7347-4cab-a04d-b534fb060297","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T00:23Z","2023-07-20T13:55Z","2023-09-20","ABBY_032.20230720.0655","B00000121575","ABBY_032.20230720.0655.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"13410923-a49b-4d4e-8bd2-63bee6386c12","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T00:35Z","2023-07-20T13:16Z","2023-09-20","ABBY_038.20230720.0616","B00000121584","ABBY_038.20230720.0616.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"90f56379-6163-4829-82e1-870b4a24c23f","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-07-20T00:47Z","2023-07-20T13:39Z","2023-09-20","ABBY_034.20230720.0639","B00000041988","ABBY_034.20230720.0639.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"cff05528-c9a4-4ccf-94b7-e253d0bdc2bb","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2023-07-20T01:45Z","2023-07-20T16:11Z","2023-09-20","ABBY_035.20230720.0911","B00000121582","ABBY_035.20230720.0911.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"6e48e251-fe73-4b1b-828b-a3ad15c3402a","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-07-20T01:59Z","2023-07-20T15:51Z","2023-09-20","ABBY_036.20230720.0851","B00000121574","ABBY_036.20230720.0851.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"e14a7ece-7d7b-4395-b89f-dc7e6434b4e9","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-07-20T02:14Z","2023-07-20T15:35Z","2023-09-20","ABBY_037.20230720.0835","B00000121583","ABBY_037.20230720.0835.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"a9c9be75-ca2f-408b-a77f-4a7b538c77e6","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-07-20T02:27Z","2023-07-20T15:16Z","2023-09-20","ABBY_031.20230720.0816","B00000121572","ABBY_031.20230720.0816.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"13783f5d-9181-4510-be6b-65f52bdabaf0","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T13:16Z","2023-07-21T02:01Z","2023-09-20","ABBY_038.20230720.1901","B00000121580","ABBY_038.20230720.1901.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"60c33157-b545-44dd-bdb3-a5e62837fbd7","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T13:54Z","2023-07-21T02:08Z","2023-09-20","ABBY_032.20230720.1908","B00000121573","ABBY_032.20230720.1908.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"64ea7549-1779-473f-9e0f-b181c5952d53","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-07-20T14:08Z","2023-07-21T02:17Z","2023-09-20","ABBY_040.20230720.1917","B00000121581","ABBY_040.20230720.1917.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"8c17d362-762e-4d60-a003-c7348e841afd","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","2023-07-20T14:40Z","2023-07-21T01:26Z","2023-09-20","ABBY_039.20230720.1826","B00000121585","ABBY_039.20230720.1826.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"b9362d39-a2bd-43dc-8285-afbf8d62b1f3","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-07-20T15:16Z","2023-07-21T00:56Z","2023-09-20","ABBY_031.20230720.1756","B00000121577","ABBY_031.20230720.1756.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"e1ede709-5740-4df4-90ba-cb5e4ef6b9b7","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-07-20T15:35Z","2023-07-21T00:40Z","2023-09-20","ABBY_037.20230720.1740","B00000121579","ABBY_037.20230720.1740.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
"ccff8ad3-e613-4d12-9685-ea054b07bade","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2023-07-20T16:11Z","2023-07-21T00:10Z","2023-09-20","ABBY_035.20230720.1710","B00000121587","ABBY_035.20230720.1710.S.01",,1.000,"No known compromise",,"wQaueCQ5RuBv55zlsvQV3cciCXI5t6hz","Vector Disease Control International"
