uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,trapHours,nightOrDay,eventID,samplingImpractical,sampleID,sampleCode,samplingProtocolVersion,sampleTiming,fanStatus,catchCupStatus,trapType,CO2Status,sampleCondition,targetTaxaPresent,recordedBy,remarks,dataQF
"27de4009-5a4d-42d9-ae55-02e60a4e2bbf","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","distributed","grasslandHerbaceous",45.765077,-122.384566,"WGS84",10.1,496.0,0.1,"2023-10-10T21:40Z","2023-10-11T15:15Z",17.6,"night","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Absent",,"N","olsone1@battelleecology.org",,
"1d1b5698-a404-4975-929d-47a3d2f00952","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","distributed","evergreenForest",45.758502,-122.389604,"WGS84",10.1,428.1,0.1,"2023-10-10T21:51Z","2023-10-11T15:28Z",17.6,"night","ABBY.2023.41","OK","ABBY_034.20231011.0828","B00000042218","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","Sample incomplete","Y","olsone1@battelleecology.org","Missed one small insect",
"366b3313-3502-4f6f-9cc7-d72f1258c68f","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","distributed","evergreenForest",45.765840,-122.376086,"WGS84",10.1,557.7,0.1,"2023-10-10T22:02Z","2023-10-11T15:42Z",17.7,"night","ABBY.2023.41","OK","ABBY_032.20231011.0842","B00000042219","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"dc8fad9e-caa1-43ea-bd3c-f1436a93e326","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","distributed","shrubScrub",45.768250,-122.367574,"WGS84",10.1,519.8,0.1,"2023-10-10T22:10Z","2023-10-11T15:51Z",17.7,"night","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"4b8746c8-a377-4845-b143-b852ee7752f5","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","distributed","mixedForest",45.772150,-122.363335,"WGS84",10.3,455.7,0.3,"2023-10-10T22:17Z","2023-10-11T15:57Z",17.7,"night","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"2d2f0d03-82c3-44d6-b968-9c0afb15105a","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","distributed","shrubScrub",45.729719,-122.363716,"WGS84",10.1,574.2,0.1,"2023-10-10T22:31Z","2023-10-11T16:13Z",17.7,"night","ABBY.2023.41","OK","ABBY_039.20231011.0913","B00000042217","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"6e233318-843e-40ad-8c27-d29dbecff6aa","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","distributed","evergreenForest",45.746174,-122.314267,"WGS84",,555.0,0.3,"2023-10-10T23:02Z","2023-10-11T16:41Z",17.7,"night","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"b2675513-3494-422e-a458-50b8b4e22619","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","distributed","evergreenForest",45.763458,-122.336096,"WGS84",10.1,344.9,0.1,"2023-10-10T23:15Z","2023-10-11T16:56Z",17.7,"night","ABBY.2023.41","OK","ABBY_037.20231011.0956","B00000042220","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"b9e3c265-17b5-489a-be6d-871c85b60f10","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","distributed","evergreenForest",45.747351,-122.308509,"WGS84",10.5,443.7,0.4,"2023-10-10T23:30Z","2023-10-11T17:15Z",17.8,"night","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"7f4ef86a-c103-43c3-83a9-894f17617f84","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","distributed","grasslandHerbaceous",45.753024,-122.305090,"WGS84",10.1,478.2,0.1,"2023-10-11T01:00Z","2023-10-11T01:00Z",0.0,,"ABBY.2023.41","other",,,"NEON.DOC.014049vM","Field season",,,,,,,"holmanm@battelleecology.org","Wasp nest near mosquito point",
"da0a7ef1-b517-4030-9981-8ce4eab51980","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","distributed","grasslandHerbaceous",45.753024,-122.305090,"WGS84",10.1,478.2,0.1,"2023-10-11T15:00Z","2023-10-11T15:00Z",0.0,,"ABBY.2023.41","other",,,"NEON.DOC.014049vM","Field season",,,,,,,"holmanm@battelleecology.org","Wasp nest near mosquito point",
"2607015a-bfad-4cb9-ab0b-3178f7a4d148","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","distributed","grasslandHerbaceous",45.765077,-122.384566,"WGS84",10.1,496.0,0.1,"2023-10-11T15:15Z","2023-10-11T21:59Z",6.7,"day","ABBY.2023.41","OK","ABBY_038.20231011.1459","B00000042070","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"00958001-9f3d-4591-97cd-9f0d32d44936","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","distributed","evergreenForest",45.758502,-122.389604,"WGS84",10.1,428.1,0.1,"2023-10-11T15:28Z","2023-10-11T22:08Z",6.7,"day","ABBY.2023.41","OK","ABBY_034.20231011.1508","B00000042213","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"56de14fd-f396-493c-b878-90c87b091ae2","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","distributed","evergreenForest",45.765840,-122.376086,"WGS84",10.1,557.7,0.1,"2023-10-11T15:42Z","2023-10-11T22:23Z",6.7,"day","ABBY.2023.41","OK","ABBY_032.20231011.1523","B00000042216","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"1d0614fe-8f9e-437c-abf2-809f8e2cf792","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","distributed","shrubScrub",45.768250,-122.367574,"WGS84",10.1,519.8,0.1,"2023-10-11T15:51Z","2023-10-11T22:30Z",6.7,"day","ABBY.2023.41","OK","ABBY_040.20231011.1530","B00000042051","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"5f60dd60-1c28-46a0-acd6-5eb180340e1c","ABBY_033.mosquitoPoint.mos","D16","ABBY","ABBY_033","distributed","mixedForest",45.772150,-122.363335,"WGS84",10.3,455.7,0.3,"2023-10-11T15:57Z","2023-10-11T22:36Z",6.7,"day","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"d84d8476-c07f-4ded-b290-7b1ac128e721","ABBY_039.mosquitoPoint.mos","D16","ABBY","ABBY_039","distributed","shrubScrub",45.729719,-122.363716,"WGS84",10.1,574.2,0.1,"2023-10-11T16:13Z","2023-10-11T22:50Z",6.6,"day","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"e61ae902-e7c0-4099-8147-0dc5b91c0089","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","distributed","evergreenForest",45.746174,-122.314267,"WGS84",,555.0,0.3,"2023-10-11T16:41Z","2023-10-11T23:14Z",6.6,"day","ABBY.2023.41","OK",,,"NEON.DOC.014049vM","Field season","On","OK","dry ice","Present",,"N","olsone1@battelleecology.org",,
"f75abb0d-311a-4872-a31c-d4c7ddb2fa2e","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","distributed","evergreenForest",45.763458,-122.336096,"WGS84",10.1,344.9,0.1,"2023-10-11T16:56Z","2023-10-11T23:33Z",6.6,"day","ABBY.2023.41","OK","ABBY_037.20231011.1633","B00000042063","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
"06a262a4-1fff-4f80-83d3-6ee264c59368","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","distributed","evergreenForest",45.747351,-122.308509,"WGS84",10.5,443.7,0.4,"2023-10-11T17:15Z","2023-10-11T23:44Z",6.5,"day","ABBY.2023.41","OK","ABBY_036.20231011.1644","B00000042067","NEON.DOC.014049vM","Field season","On","OK","dry ice","Present","No known compromise","Y","olsone1@battelleecology.org",,
